category,book,book_id,author,publisher,edition,total_pages,pages_scraped,status,scraped_at,topics,url,file,book_index,cat_index
المنطق,آداب البحث والمناظرة,266,,,,,382,partial,11-06-2026 19:26:48 IST,,https://shamela.ws/book/266,shamela_output/المنطق/آداب_البحث_والمناظرة.txt,,
المنطق,التقريب لحد المنطق والمدخل إليه بالألفاظ العامية والأمثلة الفقهية,1028,,,,,225,partial,11-06-2026 19:26:48 IST,,https://shamela.ws/book/1028,shamela_output/المنطق/التقريب_لحد_المنطق_والمدخل_إليه_بالألفاظ_العامية_والأمثلة_الفقهية.txt,,
المنطق,الجمل في المنطق,719,,,,,4,partial,11-06-2026 19:26:48 IST,,https://shamela.ws/book/719,shamela_output/المنطق/الجمل_في_المنطق.txt,,
المنطق,الشرح المختصر للسلم المنورق,36056,,,,,143,partial,11-06-2026 19:26:48 IST,,https://shamela.ws/book/36056,shamela_output/المنطق/الشرح_المختصر_للسلم_المنورق.txt,,
المنطق,المختصر في المنطق,708,,,,,29,partial,11-06-2026 19:26:48 IST,,https://shamela.ws/book/708,shamela_output/المنطق/المختصر_في_المنطق.txt,,
المنطق,المغالطات المنطقية,1112,,,,,258,partial,11-06-2026 19:26:48 IST,,https://shamela.ws/book/1112,shamela_output/المنطق/المغالطات_المنطقية.txt,,
المنطق,شرح القويسني على السلم المنورق للأخضري,36107,,,,,269,partial,11-06-2026 19:26:48 IST,,https://shamela.ws/book/36107,shamela_output/المنطق/شرح_القويسني_على_السلم_المنورق_للأخضري.txt,,
المنطق,شرح المطلع على متن إيساغوجي,36124,,,,,370,partial,11-06-2026 19:26:48 IST,,https://shamela.ws/book/36124,shamela_output/المنطق/شرح_المطلع_على_متن_إيساغوجي.txt,,
المنطق,محك النظر,26538,,,,,77,partial,11-06-2026 19:26:48 IST,,https://shamela.ws/book/26538,shamela_output/المنطق/محك_النظر.txt,,
المنطق,مختصر «المغالطات المنطقية»,1113,,,,,100,partial,11-06-2026 19:26:48 IST,,https://shamela.ws/book/1113,shamela_output/المنطق/مختصر_«المغالطات_المنطقية».txt,,
المنطق,معيار العلم في فن المنطق,26575,,,,,270,partial,11-06-2026 19:26:48 IST,,https://shamela.ws/book/26575,shamela_output/المنطق/معيار_العلم_في_فن_المنطق.txt,,
